,Cat Num,Cat Name
0,0,0None
1,1,1None
2,0,0None
3,0,0None
4,0,0None
5,2,2None
6,0,0None
7,0,0None
8,0,0None
9,6,6None
10,0,0None
11,0,0None
12,0,0None
13,6,6None
14,0,0None
15,4,4None
16,0,0None
17,3,3None
18,4,4None
19,0,0None
20,0,0None
21,0,0None
22,0,0None
23,0,0None
24,0,0None
25,0,0None
26,0,0None
27,0,0None
28,0,0None
29,0,0None
30,0,0None
31,0,0None
32,0,0None
33,0,0None
34,0,0None
35,0,0None
36,0,0None
37,0,0None
38,6,6None
39,0,0None
40,0,0None
41,1,1None
42,5,5None
43,0,0None
44,0,0None
45,0,0None
46,0,0None
47,1,1None
48,2,2None
49,3,3None
